input,output
a group of people taking a selfie,when life is full of possibilities
a squirrel holding a peanut,when you are late but still gotta flex
a raccoon digging through trash,when you have 37 tasks but decide to take a nap
a squirrel holding a peanut,when coffee and wisdom go hand in hand
a cup of coffee next to a book,when coffee and wisdom go hand in hand
a raccoon digging through trash,when nature attacks but you just wanted to exist
a cup of coffee next to a book,when you have 37 tasks but decide to take a nap
a group of people taking a selfie,when the journey is more dangerous than the destination
a seagull stealing a french fry,when life stacks up but you just go with the flow
a traffic cone in the middle of the road,when geometry and driving don’t mix
a person wearing sunglasses indoors,when food is free and you are faster than security
a cat staring at a wall,when the journey is more dangerous than the destination
a person struggling with an umbrella in the wind,when the streets are your buffet
a seagull stealing a french fry,when you rethink all your life choices
a cup of coffee next to a book,when technology lets you down
a laptop with too many tabs open,when you hide your pain behind dark lenses
a baby making a funny face,when someone left their mark and disappeared
a bird sitting on a traffic light,when the squad gotta get the perfect angle
a bird sitting on a traffic light,when you have 37 tasks but decide to take a nap
a stack of pancakes with syrup,when life is full of possibilities
a person struggling with an umbrella in the wind,when the streets are your buffet
a bird sitting on a traffic light,when the squad gotta get the perfect angle
a person struggling with an umbrella in the wind,when the streets are your buffet
a squirrel holding a peanut,when geometry and driving don’t mix
a squirrel holding a peanut,when you finally get what you wanted
a traffic cone in the middle of the road,when you are watching traffic but traffic is watching you
a raccoon digging through trash,when life is full of possibilities
a stack of pancakes with syrup,when nature attacks but you just wanted to exist
a group of people taking a selfie,when nature attacks but you just wanted to exist
a person trying to parallel park,when geometry and driving don’t mix
a person trying to parallel park,when geometry and driving don’t mix
a squirrel holding a peanut,when the streets are your buffet
a kid holding a balloon,when life stacks up but you just go with the flow
a person trying to parallel park,when food is free and you are faster than security
a bird sitting on a traffic light,when geometry and driving don’t mix
a stack of pancakes with syrup,when coffee and wisdom go hand in hand
a person struggling with an umbrella in the wind,when someone takes your toy away
a traffic cone in the middle of the road,when life is full of possibilities
a traffic cone in the middle of the road,when life stacks up but you just go with the flow
a bird sitting on a traffic light,when the streets are your buffet
a dog looking at a pizza,when someone takes your toy away
a laptop with too many tabs open,when you finally get what you wanted
a seagull stealing a french fry,when you rethink all your life choices
a bird sitting on a traffic light,when your whole world is kinda small
a laptop with too many tabs open,when you have 37 tasks but decide to take a nap
a fish in a tiny fishbowl,when you are watching traffic but traffic is watching you
a dog looking at a pizza,when someone left their mark and disappeared
a cat staring at a wall,when you hide your pain behind dark lenses
a laptop with too many tabs open,when the journey is more dangerous than the destination
